Title,Authors,Date,Abstract,Url,AwesomeListCategory,Categories,PaperIndex,Affiliation
AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,"Weize Chen, Yusheng Su, Jingwei Zuo, Cheng Yang, Chenfei Yuan, Chi-Min Chan, Heyang Yu, Yaxi Lu, Yi-Hsin Hung, Chen Qian, Yujia Qin, Xin Cong, Ruobing Xie, Zhiyuan Liu, Maosong Sun, Jie Zhou",2023.8.21,"Autonomous agents empowered by Large Language Models (LLMs) have under-
gone significant improvements, enabling them to generalize across a broad spec-
trum of tasks. However, in real-world scenarios, cooperation among individuals is
often required to enhance the efficiency and effectiveness of task accomplishment.
Hence, inspired by human group dynamics, we propose a multi-agent framework
AGENTVERSE that can effectively orchestrate a collaborative group of expert agents
as a greater-than-the-sum-of-its-parts system. Our experiments demonstrate that
AGENTVERSE can proficiently deploy multi-agent groups that outperform a single
agent. Extensive experiments on text understanding, reasoning, coding, tool utiliza-
tion, and embodied AI confirm the effectiveness of AGENTVERSE. Moreover, our
analysis of agent interactions within AGENTVERSE reveals the emergence of spe-
cific collaborative behaviors, contributing to heightened group efficiency. Our code
has been released at https://github.com/OpenBMB/AgentVerse/.",https://arxiv.org/abs/2308.10848,Simulation,Computation and Language (cs.CL),agentverse_facilitating_multi-agent_collaboration_20230821,"Tsinghua University, Beijing University of Posts and Telecommunications, Tencent Inc."
AI Hospital: Interactive Evaluation and Collaboration of LLMs as Intern Doctors for Clinical Diagnosis,"Zhihao Fan, Jialong Tang, Wei Chen, Siyuan Wang, Zhongyu Wei, Jun Xi, Fei Huang, Jingren Zhou",2024.2.15,"The incorporation of Large Language Models
(LLMs) in healthcare marks a significant ad-
vancement. However, the application has pre-
dominantly been limited to discriminative and
question-answering tasks, which does not fully
leverage their interactive potential. To address
this limitation, our paper presents AI Hospital,
a framework designed to build a real-time in-
teractive diagnosis environment. To simulate
the procedure, we collect high-quality medical
records to create patient, examiner, and medical
director agents. AI Hospital is then utilized for
the interactive evaluation and collaboration of
LLMs. Initially, we create a Multi-View Medi-
cal Evaluation (MVME) benchmark where vari-
ous LLMs serve as intern doctors for interactive
diagnosis. Subsequently, to improve diagnostic
accuracy, we introduce a collaborative mech-
anism that involves iterative discussions and
a dispute resolution process under the supervi-
sion of the medical director. In our experiments,
we validate the reliability of AI Hospital. The
results not only explore the feasibility of apply
LLMs in clinical consultation but also confirm
the effectiveness of the dispute resolution fo-
cused collaboration method.",https://arxiv.org/abs/2402.09742,Simulation,Computation and Language (cs.CL),ai_hospital_interactive_evaluation_20240215,"Alibaba Inc., Huazhong University of Science and Technology, Fudan University"
Apollo's Oracle: Retrieval-Augmented Reasoning in Multi-Agent Debates,"Haotian Wang, Xiyuan Du, Weijiang Yu, Qianglong Chen, Kun Zhu, Zheng Chu, Lian Yan, Yi Guan",2023.12.8,"Multi-agent debate systems are designed to derive accurate and consistent conclusions through adversarial interactions among agents. However, these systems often encounter challenges due to cognitive constraints, manifesting as (1) agents' obstinate adherence to incorrect viewpoints and (2) their propensity to abandon correct viewpoints. These issues are primarily responsible for the ineffectiveness of such debates. Addressing the challenge of cognitive constraints, we introduce a novel framework, the Multi-Agent Debate with Retrieval Augmented (MADRA). MADRA incorporates retrieval of prior knowledge into the debate process, effectively breaking cognitive constraints and enhancing the agents' reasoning capabilities. Furthermore, we have developed a self-selection module within this framework, enabling agents to autonomously select pertinent evidence, thereby minimizing the impact of irrelevant or noisy data. We have comprehensively tested and analyzed MADRA across six diverse datasets. The experimental results demonstrate that our approach significantly enhances performance across various tasks, proving the effectiveness of our proposed method.",https://arxiv.org/abs/2312.04854,Communication,Computation and Language (cs.CL),apollo's_oracle_retrieval-augmented_reasoning_20231208,"Harbin Institute of Technology, Sun Yat-sen University, Zhejiang University"
Are you in a Masquerade? Exploring the Behavior and Impact of Large Language Model Driven Social Bots in Online Social Networks,"Siyu Li, Jin Yang, Kui Zhao",2023.7.19,"As the capabilities of Large Language Models (LLMs) emerge, they not only assist in accomplishing traditional tasks within more efficient paradigms but also stimulate the evolution of social bots. Researchers have begun exploring the implementation of LLMs as the driving core of social bots, enabling more efficient and user-friendly completion of tasks like profile completion, social behavior decision-making, and social content generation. However, there is currently a lack of systematic research on the behavioral characteristics of LLMs-driven social bots and their impact on social networks. We have curated data from Chirper, a Twitter-like social network populated by LLMs-driven social bots and embarked on an exploratory study. Our findings indicate that: (1) LLMs-driven social bots possess enhanced individual-level camouflage while exhibiting certain collective characteristics; (2) these bots have the ability to exert influence on online communities through toxic behaviors; (3) existing detection methods are applicable to the activity environment of LLMs-driven social bots but may be subject to certain limitations in effectiveness. Moreover, we have organized the data collected in our study into the Masquerade-23 dataset, which we have publicly released, thus addressing the data void in the subfield of LLMs-driven social bots behavior datasets. Our research outcomes provide primary insights for the research and governance of LLMs-driven social bots within the research community.",https://arxiv.org/abs/2307.10337,Simulation,Social and Information Networks (cs.SI),are_you_in_a_20230719,Sichuan University
ATM: Adversarial Tuning Multi-agent System Makes a Robust Retrieval-Augmented Generator,"Junda Zhu, Lingyong Yan, Haibo Shi, Dawei Yin, Lei Sha",2024.5.28,"Large language models (LLMs) are proven to
benefit a lot from retrieval-augmented genera-
tion (RAG) in alleviating hallucinations con-
fronted with knowledge-intensive questions.
RAG adopts information retrieval techniques
to inject external knowledge from semantic-
relevant documents as input contexts. How-
ever, due to today’s Internet being flooded with
numerous noisy and fabricating content, it is
inevitable that RAG systems are vulnerable
to these noises and prone to respond incor-
rectly. To this end, we propose to optimize
the retrieval-augmented GENERATOR with a
Adversarial Tuning Multi-agent system (ATM).
The ATM steers the GENERATOR to have a ro-
bust perspective of useful documents for ques-
tion answering with the help of an auxiliary
ATTACKER agent. The GENERATOR and the
ATTACKER are tuned adversarially for several
iterations. After rounds of multi-agent itera-
tive tuning, the GENERATOR can eventually
better discriminate useful documents amongst
fabrications. The experimental results verify
the effectiveness of ATM and we also observe
that the GENERATOR can achieve better perfor-
mance compared to state-of-the-art baselines.",https://arxiv.org/abs/2405.18111,Communication,Computation and Language (cs.CL),atm_adversarial_tuning_multi-agent_20240528,"Beihang University, Baidu Inc."
Auto Arena of LLMs: Automating LLM Evaluations with Agent Peer-battles and Committee Discussions,"Ruochen Zhao, Wenxuan Zhang, Yew Ken Chia, Deli Zhao, Lidong Bing",2024.5.30,"As LLMs evolve on a daily basis, there is an urgent need for a trustworthy evaluation
method that can provide robust evaluation results in a timely fashion. Currently,
as static benchmarks are prone to contamination concerns, users tend to trust
human voting platforms, such as Chatbot Arena. However, human annotations
require extensive manual efforts. To provide an automatic, robust, and trustworthy
evaluation framework, we innovatively propose the Auto-Arena of LLMs, which
automates the entire evaluation process with LLM agents. Firstly, an examiner
LLM devises queries. Then, a pair of candidate LLMs engage in a multi-round peer-
battle around the query, during which the LLM’s true performance gaps become
visible. Finally, a committee of LLM judges collectively discuss and determine the
winner, which alleviates bias and promotes fairness. In our extensive experiment
on the 17 newest LLMs, Auto-Arena shows the highest correlation with human
preferences, providing a promising alternative to human evaluation platforms.",https://arxiv.org/abs/2405.20267,Communication,Computation and Language (cs.CL),auto_arena_of_llms_20240530,"Nanyang Technological University, Alibaba Group, Singapore University of Technology and Design"
AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation,"Qingyun Wu, Gagan Bansal, Jieyu Zhang, Yiran Wu, Beibin Li, Erkang Zhu, Li Jiang, Xiaoyun Zhang, Shaokun Zhang, Jiale Liu, Ahmed Hassan Awadallah, Ryen W White, Doug Burger, Chi Wang",2023.8.16,"AutoGen2 is an open-source framework that allows developers to build LLM ap-
plications via multiple agents that can converse with each other to accomplish
tasks. AutoGen agents are customizable, conversable, and can operate in vari-
ous modes that employ combinations of LLMs, human inputs, and tools. Using
AutoGen, developers can also flexibly define agent interaction behaviors. Both
natural language and computer code can be used to program flexible conversation
patterns for different applications. AutoGen serves as a generic framework for
building diverse applications of various complexities and LLM capacities. Em-
pirical studies demonstrate the effectiveness of the framework in many example
applications, with domains ranging from mathematics, coding, question answer-
ing, operations research, online decision-making, entertainment, etc.",https://arxiv.org/abs/2308.08155,Organization,Artificial Intelligence (cs.AI),autogen_enabling_next-gen_llm_20230816,"Microsoft Research, Pennsylvania State University, University of Washington, Xidian University"
Autonomous Agents for Collaborative Task under Information Asymmetry,"Wei Liu, Chenxi Wang, Yifei Wang, Zihao Xie, Rennai Qiu, Yufan Dang, Zhuoyun Du, Weize Chen, Cheng Yang, Chen Qian",2024.6.21,"Large Language Model Multi-Agent Systems (LLM-MAS) have achieved great
progress in solving complex tasks. It performs communication among agents within
the system to collaboratively solve tasks, under the premise of shared information.
However, when agents’ communication is leveraged to enhance human cooperation,
a new challenge arises due to information asymmetry, since each agent can only
access the information of its human user. Previous MAS struggle to complete tasks
under this condition. To address this, we propose a new MAS paradigm termed
iAgents, which denotes Informative Multi-Agent Systems. In iAgents, the human
social network is mirrored in the agent network, where agents proactively exchange
human information necessary for task resolution, thereby overcoming information
asymmetry. iAgents employs a novel agent reasoning mechanism, InfoNav, to
navigate agents’ communication towards effective information exchange. Together
with InfoNav, iAgents organizes human information in a mixed memory to provide
agents with accurate and comprehensive information for exchange. Additionally,
we introduce InformativeBench, the first benchmark tailored for evaluating LLM
agents’ task-solving ability under information asymmetry. Experimental results
show that iAgents can collaborate within a social network of 140 individuals
and 588 relationships, autonomously communicate over 30 turns, and retrieve
information from nearly 70,000 messages to complete tasks within 3 minutes.",https://arxiv.org/abs/2406.14928,Communication,Artificial Intelligence (cs.AI),autonomous_agents_for_collaborative_20240621,"Tsinghua University, Beijing University of Posts and Telecommunications"
Avalon's Game of Thoughts: Battle Against Deception through Recursive Contemplation,"Shenzhi Wang, Chang Liu, Zilong Zheng, Siyuan Qi, Shuo Chen, Qisen Yang, Andrew Zhao, Chaofei Wang, Shiji Song, Gao Huang",2023.10.2,"Recent breakthroughs in large language models (LLMs) have brought remark-
able success in the field of LLM-as-Agent. Nevertheless, a prevalent assumption
is that the information processed by LLMs is consistently honest, neglecting the
pervasive deceptive or misleading information in human society and AI-generated
content.
This oversight makes LLMs susceptible to malicious manipulations,
potentially resulting in detrimental outcomes. This study utilizes the intricate
Avalon game as a testbed to explore LLMs’ potential in deceptive environments.
Avalon, full of misinformation and requiring sophisticated logic, manifests as a
“Game-of-Thoughts”. Inspired by the efficacy of humans’ recursive thinking and
perspective-taking in the Avalon game, we introduce a novel framework, Recur-
sive Contemplation (ReCon), to enhance LLMs’ ability to identify and counteract
deceptive information. ReCon combines formulation and refinement contempla-
tion processes; formulation contemplation produces initial thoughts and speech,
while refinement contemplation further polishes them. Additionally, we incor-
porate first-order and second-order perspective transitions into these processes
respectively. Specifically, the first-order allows an LLM agent to infer others’
mental states, and the second-order involves understanding how others perceive
the agent’s mental state.......",https://arxiv.org/abs/2310.01320,Communication,Artificial Intelligence (cs.AI),avalon's_game_of_thoughts_20231002,"Tsinghua University, BIGAI, Technical University of Munich"
Avalon's Game of Thoughts: Battle Against Deception through Recursive Contemplation,"Shenzhi Wang, Chang Liu, Zilong Zheng, Siyuan Qi, Shuo Chen, Qisen Yang, Andrew Zhao, Chaofei Wang, Shiji Song, Gao Huang",2023.10.2,"Recent breakthroughs in large language models (LLMs) have brought remark-
able success in the field of LLM-as-Agent. Nevertheless, a prevalent assumption
is that the information processed by LLMs is consistently honest, neglecting the
pervasive deceptive or misleading information in human society and AI-generated
content.
This oversight makes LLMs susceptible to malicious manipulations,
potentially resulting in detrimental outcomes. This study utilizes the intricate
Avalon game as a testbed to explore LLMs’ potential in deceptive environments.
Avalon, full of misinformation and requiring sophisticated logic, manifests as a
“Game-of-Thoughts”. Inspired by the efficacy of humans’ recursive thinking and
perspective-taking in the Avalon game, we introduce a novel framework, Recur-
sive Contemplation (ReCon), to enhance LLMs’ ability to identify and counteract
deceptive information. ReCon combines formulation and refinement contempla-
tion processes; formulation contemplation produces initial thoughts and speech,
while refinement contemplation further polishes them. Additionally, we incor-
porate first-order and second-order perspective transitions into these processes
respectively. Specifically, the first-order allows an LLM agent to infer others’
mental states, and the second-order involves understanding how others perceive
the agent’s mental state.......",https://arxiv.org/abs/2310.01320,Organization,Artificial Intelligence (cs.AI),avalon's_game_of_thoughts_20231002,"Tsinghua University, BIGAI, Technical University of Munich"
BattleAgent: Multi-modal Dynamic Emulation on Historical Battles to Complement Historical Analysis,"Shuhang Lin, Wenyue Hua, Lingyao Li, Che-Jui Chang, Lizhou Fan, Jianchao Ji, Hang Hua, Mingyu Jin, Jiebo Luo, Yongfeng Zhang",2024.4.23,"This paper presents BattleAgent, a detailed emulation demonstration system that
combines the Large Vision-Language Model (VLM) and Multi-Agent System
(MAS). This novel system aims to simulate complex dynamic interactions among
multiple agents, as well as between agents and their environments, over a period of
time. It emulates both the decision-making processes of leaders and the viewpoints
of ordinary participants, such as soldiers. The emulation showcases the current
capabilities of agents, featuring fine-grained multi-modal interactions between
agents and landscapes. It develops customizable agent structures to meet specific
situational requirements, for example, a variety of battle-related activities like
scouting and trench digging. These components collaborate to recreate historical
events in a lively and comprehensive manner while offering insights into the
thoughts and feelings of individuals from diverse viewpoints. The technological
foundations of BattleAgent establish detailed and immersive settings for historical
battles, enabling individual agents to partake in, observe, and dynamically respond
to evolving battle scenarios. This methodology holds the potential to substantially
deepen our understanding of historical events, particularly through individual
accounts. Such initiatives can also aid historical research, as conventional historical
narratives often lack documentation and prioritize the perspectives of decision-
makers, thereby overlooking the experiences of ordinary individuals. This biased
documentation results in a considerable gap in our historical understanding, as many
stories remain untold......",https://arxiv.org/abs/2404.15532,Simulation,Human-Computer Interaction (cs.HC),battleagent_multi-modal_dynamic_emulation_20240423,"Rutgers University, University of Michigan, University of Rochester"
Beyond Natural Language: LLMs Leveraging Alternative Formats for Enhanced Reasoning and Communication,"Weize Chen, Chenfei Yuan, Jiarui Yuan, Yusheng Su, Chen Qian, Cheng Yang, Ruobing Xie, Zhiyuan Liu, Maosong Sun",2024.2.28,"Natural language (NL) has long been the predominant format for human cognition and communication, and by extension, has been similarly pivotal in the development and application of Large Language Models (LLMs). Yet, besides NL, LLMs have seen various non-NL formats during pre-training, such as code and logical expression. NL's status as the optimal format for LLMs, particularly in single-LLM reasoning and multi-agent communication, has not been thoroughly examined. In this work, we challenge the default use of NL by exploring the utility of non-NL formats in these contexts. We show that allowing LLMs to autonomously select the most suitable format before reasoning or communicating leads to a 3.3 to 5.7\% improvement in reasoning efficiency for different LLMs, and up to a 72.7\% reduction in token usage in multi-agent communication, all while maintaining communicative effectiveness. Our comprehensive analysis further reveals that LLMs can devise a format from limited task instructions and that the devised format is effectively transferable across different LLMs. Intriguingly, the structured communication format decided by LLMs exhibits notable parallels with established agent communication languages, suggesting a natural evolution towards efficient, structured communication in agent communication.",https://arxiv.org/abs/2402.18439,Communication,Computation and Language (cs.CL),beyond_natural_language_llms_20240228,"Tsinghua University, Tencent, Beijing University of Posts and Telecommunications"
